dataset,split,label,model,accuracy,f1,mcc,auc,precision,recall,pr_auc,train_pos_ratio,test_pos_ratio,train_size,test_size
tox21,datasail_scaled_stratified,NR-AhR,logistic_regression,0.913,0.225,0.18,0.617,0.25,0.205,0.167,0.148,0.062,4473,709
tox21,datasail_scaled_stratified,NR-Aromatase,random_forest,0.983,0.0,0.0,0.687,0.0,0.0,0.044,0.064,0.017,3903,631
tox21,datasail_scaled_stratified,NR-Aromatase,logistic_regression,0.973,0.0,-0.013,0.523,0.0,0.0,0.031,0.064,0.017,3903,631
tox21,datasail_scaled_stratified,NR-ER,random_forest,0.927,0.04,0.138,0.538,1.0,0.02,0.134,0.151,0.074,4210,662
tox21,datasail_scaled_stratified,NR-ER,logistic_regression,0.825,0.108,0.018,0.455,0.086,0.143,0.076,0.151,0.074,4210,662
tox21,datasail_scaled_stratified,NR-ER-LBD,random_forest,0.974,0.095,0.221,0.623,1.0,0.05,0.123,0.063,0.028,4798,726
tox21,datasail_scaled_stratified,NR-ER-LBD,logistic_regression,0.953,0.15,0.126,0.606,0.15,0.15,0.085,0.063,0.028,4798,726
tox21,datasail_scaled_stratified,NR-PPAR-gamma,random_forest,0.973,0.0,0.0,0.77,0.0,0.0,0.375,0.033,0.027,4377,700
tox21,datasail_scaled_stratified,NR-PPAR-gamma,logistic_regression,0.969,0.214,0.215,0.713,0.333,0.158,0.217,0.033,0.027,4377,700
tox21,datasail_scaled_stratified,SR-ARE,random_forest,0.899,0.217,0.295,0.69,0.818,0.125,0.341,0.187,0.112,3891,644
tox21,datasail_scaled_stratified,SR-ARE,logistic_regression,0.769,0.212,0.088,0.565,0.171,0.278,0.151,0.187,0.112,3891,644
tox21,datasail_scaled_stratified,SR-ATAD5,random_forest,0.968,0.0,0.0,0.823,0.0,0.0,0.272,0.043,0.032,4877,744
tox21,datasail_scaled_stratified,SR-ATAD5,logistic_regression,0.953,0.34,0.317,0.721,0.31,0.375,0.218,0.043,0.032,4877,744
tox21,datasail_scaled_stratified,SR-HSE,random_forest,0.959,0.0,0.0,0.748,0.0,0.0,0.097,0.065,0.041,4399,685
tox21,datasail_scaled_stratified,SR-HSE,logistic_regression,0.912,0.189,0.151,0.654,0.152,0.25,0.1,0.065,0.041,4399,685
tox21,datasail_scaled_stratified,SR-MMP,random_forest,0.96,0.419,0.483,0.847,0.9,0.273,0.57,0.199,0.053,3926,621
tox21,datasail_scaled_stratified,SR-MMP,logistic_regression,0.897,0.333,0.301,0.793,0.254,0.485,0.266,0.199,0.053,3926,621
tox21,datasail_scaled_stratified,SR-p53,random_forest,0.964,0.0,0.0,0.837,0.0,0.0,0.182,0.075,0.036,4643,720
tox21,datasail_scaled_stratified,SR-p53,logistic_regression,0.936,0.148,0.115,0.676,0.143,0.154,0.102,0.075,0.036,4643,720
hiv,random,HIV_active,random_forest,0.972,0.486,0.51,0.835,0.761,0.358,0.481,0.034,0.037,28783,4113
hiv,random,HIV_active,logistic_regression,0.951,0.371,0.346,0.786,0.353,0.391,0.32,0.034,0.037,28783,4113
hiv,datasail_scaled_random,HIV_active,random_forest,0.946,0.344,0.43,0.845,0.935,0.211,0.516,0.036,0.067,28928,4115
hiv,datasail_scaled_random,HIV_active,logistic_regression,0.885,0.247,0.188,0.681,0.219,0.284,0.155,0.036,0.067,28928,4115
hiv,datasail_scaled_stratified,HIV_active,random_forest,0.938,0.167,0.237,0.869,0.667,0.096,0.508,0.028,0.066,28883,4145
hiv,datasail_scaled_stratified,HIV_active,logistic_regression,0.917,0.331,0.287,0.739,0.351,0.312,0.238,0.028,0.066,28883,4145
